task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	79/6dd2ce	53159291	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:INPUT_CHECK:SAMPLESHEET_CHECK (PXD049412.sdrf.tsv)	COMPLETED	0	2026-06-21 18:10:41.774	1m 9s	3s	90.5%	157 MB	565.2 MB	41.6 MB	3.2 KB
2	93/25e67a	53159944	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:CREATE_INPUT_CHANNEL:SDRF_PARSING (PXD049412.sdrf.tsv)	COMPLETED	0	2026-06-21 18:11:51.082	1m 10s	1.7s	90.8%	12 MB	30.9 MB	68 MB	62.8 KB
69	24/3a156f	53160655	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_A23)	COMPLETED	0	2026-06-21 18:13:06.846	1m 14s	11s	109.2%	413.4 MB	1.5 TB	148.7 MB	84.7 MB
70	7e/313b35	53160654	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_A24)	COMPLETED	0	2026-06-21 18:13:06.743	1m 14s	9s	109.0%	360 MB	1.5 TB	116.7 MB	71.5 MB
72	4e/85aea2	53160657	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_B24)	COMPLETED	0	2026-06-21 18:13:07.049	1m 14s	8s	112.1%	377.5 MB	1.5 TB	116.6 MB	71.1 MB
71	9a/e518fd	53160656	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_B23)	COMPLETED	0	2026-06-21 18:13:06.947	1m 14s	11s	108.3%	415.6 MB	1.5 TB	151.6 MB	85.2 MB
74	77/065a20	53160659	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_C24)	COMPLETED	0	2026-06-21 18:13:07.250	1m 14s	8s	110.9%	343.2 MB	1.5 TB	98.3 MB	65.3 MB
76	1b/deb466	53160661	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_D24)	COMPLETED	0	2026-06-21 18:13:07.445	1m 14s	8s	112.3%	327.1 MB	1.5 TB	99.5 MB	65.6 MB
103	ff/082c55	53160704	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Evo96_A549_D3)	COMPLETED	0	2026-06-21 18:13:10.141	1m 11s	8s	108.1%	379 MB	1.5 TB	105.5 MB	66.2 MB
75	50/6193d2	53160660	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_D23)	COMPLETED	0	2026-06-21 18:13:07.346	1m 19s	9s	112.9%	374.9 MB	1.5 TB	114.4 MB	70.3 MB
77	47/977789	53160662	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_E23)	COMPLETED	0	2026-06-21 18:13:07.547	1m 18s	8s	110.3%	366.6 MB	1.5 TB	110.9 MB	69.4 MB
73	ab/d9149b	53160658	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_C23)	COMPLETED	0	2026-06-21 18:13:07.146	1m 19s	13s	110.1%	408.8 MB	1.5 TB	208.1 MB	108.8 MB
78	06/f987d5	53160663	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_E24)	COMPLETED	0	2026-06-21 18:13:07.653	1m 18s	9s	109.7%	359.4 MB	1.5 TB	100.7 MB	66.2 MB
79	43/13effa	53160665	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:FILE_PREPARATION:THERMORAWFILEPARSER (20231211_E0_NEO6_15cmAUR3_trap_LFSCP_run58_Armadillo_A549_F23)	COMPLETED	0	2026-06-21 18:13:07.753	1m 18s	10s	110.8%	387.7 MB	1.5 TB	132.5 MB	76.6 MB
