step	n_rss	peak_rss_p50_bytes	peak_rss_p95_bytes	n_cpu	pct_cpu_p50	pct_cpu_p95	thread_efficiency_p50	thread_efficiency_p95
ASSEMBLE_EMPIRICAL_LIBRARY	16	17716740096.0	61337501696.0	16	323.75	539.9	26.979166666666668	44.99166666666667
INSILICO_LIBRARY_GENERATION	16	12670153523.2	85738284646.4	16	767.7	2169.675	63.975	180.80625
SUMMARY_PIPELINE	17	12348030976.0	152793461555.19965	17	93.5	110.99999999999996	7.791666666666667	9.249999999999996
QPX_EXPORT	7	6871947673.6	24051816857.599987	7	111.5	157.02999999999997	9.291666666666666	13.085833333333332
FINAL_QUANTIFICATION	17	6549825126.4	71854802862.07982	17	393.6	878.0799999999992	32.800000000000004	73.17333333333328
PRELIMINARY_ANALYSIS	12057	5798205849.6	9019431321.6	12057	917.1	990.1	76.425	82.50833333333334
INDIVIDUAL_ANALYSIS	12057	1932735283.2	2040109465.6	12057	832.8	928.6	69.39999999999999	77.38333333333334
DIANN_MSSTATS	17	1825361100.8	39127152066.55989	17	101.8	105.46000000000001	8.483333333333333	8.788333333333334
WIFF_CONVERT	306	200854732.8	230765363.2	306	97.7	98.6	8.141666666666667	8.216666666666667
SAMPLESHEET_CHECK	16	144074342.4	191653478.4	16	87.1	90.9	7.258333333333333	7.575
SDRF_PARSING	16	110834483.2	130023424.0	16	88.30000000000001	91.3	7.358333333333334	7.608333333333333
