step	n	p05_seconds	p25_seconds	p50_seconds	p75_seconds	p95_seconds	min_seconds	max_seconds
INSILICO_LIBRARY_GENERATION	16	628.75	992.75	1047.0	1615.0	3897.75	580.0	3909.0
WIFF_CONVERT	306	549.75	655.25	724.0	811.5	1000.0	422.0	1440.0
PRELIMINARY_ANALYSIS	12057	292.0	385.0	605.0	650.0	858.1999999999989	205.0	28196.0
ASSEMBLE_EMPIRICAL_LIBRARY	16	142.5	177.5	504.0	536.0	716.0	135.0	785.0
SUMMARY_PIPELINE	17	132.0	455.0	490.0	830.0	1619.9999999999998	100.0	1900.0
QPX_EXPORT	7	78.0	87.5	250.0	492.5	8391.999999999993	75.0	11680.0
FINAL_QUANTIFICATION	17	73.0	90.0	110.0	145.0	1849.9999999999948	65.0	7730.0
DIANN_MSSTATS	17	70.0	80.0	80.0	90.0	360.9999999999992	70.0	1225.0
INDIVIDUAL_ANALYSIS	12057	70.0	73.0	75.0	77.0	124.0	67.0	1067.0
SDRF_PARSING	16	65.0	68.75	70.0	70.0	71.25	65.0	75.0
SAMPLESHEET_CHECK	16	64.0	68.75	69.0	69.0	80.25	64.0	99.0
